시/군/구,동,번지,호,상세주소,우편번호,위도,경도,시설,개통년도,시설속도,고장문의,PSTN,인터넷,TV,VoIP,BS대상,영업대상
서울특별시 서초구,우면동,798,3,서초힐스 30층,6762,37.4642,127.0251,FTTH,2017,500M,13,1,1,1,0,O,
서울특별시 서초구,서초동,1462,8,래미안 리더스원 528동 1511호,6690,37.4909,127.0289,Ntopia,2019,100M,5,1,1,1,1,None,
서울특별시 서초구,서초동,1372,3,우면프라임 16층,6690,37.499,127.023,Ntopia,2018,500M,6,1,1,1,0,None,
서울특별시 서초구,양재동,257-20-1,3,잠원롯데캐슬 8층,6747,37.4771,127.0376,FTTH,2019,100M,6,1,1,0,1,None,TV
서울특별시 서초구,내곡동,633,10,반포힐탑 16층,6800,37.458,127.044,FTTH,2022,100M,9,1,1,1,1,None,
서울특별시 서초구,서초동,1471-19-2,1,방배로얄 28층,6690,37.4987,127.0269,Ntopia,2017,1G,11,1,1,1,0,O,
서울특별시 서초구,신원동,395,2,방배로얄 765동 1415호,6765,37.4661,127.0484,Ntopia,2023,1G,13,1,0,0,0,None,
서울특별시 서초구,내곡동,672-10-5,3,서초파크자이 28층,6800,37.4543,127.0458,Ntopia,2023,1G,3,1,0,1,0,None,
서울특별시 서초구,우면동,726,10,방배그랑시티 2층,6762,37.4602,127.026,FTTH,2022,1G,11,0,0,0,1,None,
서울특별시 서초구,잠원동,Nov-62,9,방배아트자이 767동 1838호,6510,37.5168,127.0096,FTTH,2020,500M,11,0,0,1,1,None,
서울특별시 서초구,방배동,888-15,4,서초빌딩 216동 2146호,6692,37.4882,126.9932,Ntopia,2024,1G,3,0,1,1,0,None,
서울특별시 서초구,서초동,1360,2,염곡힐스테이트 734동 1364호,6690,37.4904,127.03,FTTH,2020,100M,0,1,1,1,0,None,
서울특별시 서초구,서초동,1453-15,6,잠원파크빌 25층,6690,37.498,127.0217,Ntopia,2021,500M,13,0,0,1,1,None,
서울특별시 서초구,서초동,1401-8,7,삼성아파트 18층,6690,37.4959,127.0272,Ntopia,2020,1G,2,1,0,1,0,None,
서울특별시 서초구,신원동,384,8,서초힐스 26층,6765,37.4695,127.0471,FTTH,2015,500M,6,0,0,1,1,None,
서울특별시 서초구,서초동,1446-16,3,반포센트럴 257동 998호,6690,37.4984,127.0233,Ntopia,2018,1G,15,0,0,1,0,None,
서울특별시 서초구,방배동,814-12,4,우면프라임 22층,6692,37.4844,126.9907,Ntopia,2017,500M,12,1,1,0,0,O,TV
서울특별시 서초구,서초동,1330,3,서초타워 248동 2450호,6690,37.4963,127.023,Ntopia,2018,100M,0,0,1,0,0,None,TV
서울특별시 서초구,서초동,1375,10,양재파크뷰 6층,6690,37.4933,127.0206,Ntopia,2020,10G,14,0,0,1,1,None,
서울특별시 서초구,신원동,390,7,방배아트자이 17층,6765,37.4652,127.0447,Ntopia,2021,500M,5,0,1,1,1,None,
서울특별시 서초구,내곡동,658,7,래미안 리더스원 404동 2962호,6800,37.4525,127.041,FTTH,2019,500M,7,0,0,1,1,None,
서울특별시 서초구,서초동,1311,6,신원로얄 851동 1680호,6690,37.499,127.0208,Ntopia,2015,100M,12,1,1,0,1,O,TV
서울특별시 서초구,서초동,1380,7,방배로얄 10층,6690,37.4967,127.0253,FTTH,2022,100M,6,0,0,0,1,None,
서울특별시 서초구,우면동,771,6,래미안 리더스원 591동 138호,6762,37.467,127.0275,FTTH,2023,500M,5,0,1,0,1,None,TV
서울특별시 서초구,서초동,1332,10,양재파크뷰 764동 192호,6690,37.4931,127.0281,Ntopia,2020,1G,4,1,1,1,1,None,
서울특별시 서초구,서초동,1497,3,서초로얄맨션 660동 2663호,6690,37.4947,127.0201,Ntopia,2022,500M,13,1,1,0,1,O,TV
서울특별시 서초구,내곡동,604,1,염곡파인힐 7층,6800,37.4567,127.0484,Ntopia,2023,1G,7,1,1,0,0,None,TV
서울특별시 서초구,우면동,738-25-2,3,반포리체 849동 2850호,6762,37.4647,127.0273,FTTH,2017,10G,15,0,1,0,1,O,TV
서울특별시 서초구,염곡동,138-3,10,잠원롯데캐슬 5층,6766,37.4612,127.0317,Ntopia,2022,1G,10,1,0,1,1,None,
서울특별시 서초구,서초동,1301-21-3,7,반포자이 28층,6690,37.4932,127.0212,FTTH,2022,500M,14,0,1,0,1,O,TV
서울특별시 서초구,서초동,1465,6,양재타워 213동 734호,6690,37.4965,127.0203,Ntopia,2021,1G,1,0,1,0,1,None,TV
서울특별시 서초구,서초동,1403-17,9,롯데캐슬 프레지던트 24층,6690,37.495,127.0243,Ntopia,2016,1G,11,1,1,0,1,O,TV
서울특별시 서초구,서초동,1457,1,서초프라임 26층,6690,37.4955,127.0264,Ntopia,2025,1G,10,1,1,0,0,None,TV
서울특별시 서초구,서초동,1311-3,7,내곡그린 28층,6690,37.4965,127.0298,Ntopia,2017,100M,7,1,1,1,0,None,
서울특별시 서초구,반포동,16-25,2,서초그랑자이 9층,6504,37.5097,126.9907,Ntopia,2024,1G,3,0,1,1,0,None,
서울특별시 서초구,서초동,1490,2,서초프라임 592동 1600호,6690,37.4901,127.0261,FTTH,2016,1G,5,0,0,0,0,None,
서울특별시 서초구,방배동,958,6,서초프라임 21층,6692,37.4868,126.9918,FTTH,2018,1G,15,0,0,1,1,None,
서울특별시 서초구,신원동,334,5,잠원롯데캐슬 544동 2028호,6765,37.4681,127.0498,Ntopia,2022,1G,1,1,0,0,0,None,
서울특별시 서초구,우면동,782,1,롯데캐슬 프레지던트 317동 1420호,6762,37.4654,127.024,Ntopia,2021,1G,2,0,0,1,1,None,
서울특별시 서초구,서초동,1407,8,양재타워 15층,6690,37.4974,127.0292,Ntopia,2018,100M,14,0,1,0,0,O,TV
서울특별시 서초구,서초동,1423-8,7,반포센트럴 901동 1473호,6690,37.4928,127.0241,Ntopia,2019,100M,8,1,1,1,0,None,
서울특별시 서초구,서초동,1447,8,반포리체 677동 1920호,6690,37.4954,127.0226,FTTH,2021,10G,4,1,1,0,0,None,TV
서울특별시 서초구,서초동,1360,6,서초프라임 770동 1197호,6690,37.4929,127.0214,Ntopia,2020,100M,2,1,0,1,0,None,
서울특별시 서초구,서초동,1367,4,양재타워 256동 1205호,6690,37.4919,127.0208,FTTH,2016,100M,10,1,0,1,0,None,
서울특별시 서초구,서초동,1403,8,현대아파트 12층,6690,37.4968,127.0223,Ntopia,2023,500M,13,0,1,0,1,None,TV
서울특별시 서초구,방배동,811,8,반포리체 6층,6692,37.4838,126.9956,Ntopia,2016,500M,9,1,0,1,1,None,
서울특별시 서초구,서초동,1360,8,양재타워 30층,6690,37.4958,127.0299,FTTH,2018,500M,0,1,1,0,1,None,TV
서울특별시 서초구,방배동,898,8,서초그랑자이 625동 881호,6692,37.4808,126.9992,FTTH,2020,1G,14,1,0,0,1,None,
서울특별시 서초구,서초동,1381-26,5,양재파크뷰 497동 1600호,6690,37.4926,127.0236,Ntopia,2016,1G,6,1,1,1,1,None,
서울특별시 서초구,서초동,1319,2,반포리체 598동 2067호,6690,37.4963,127.0264,Ntopia,2019,1G,8,0,1,0,0,None,TV
서울특별시 서초구,신원동,361,1,서초타워 3층,6765,37.4699,127.0494,Ntopia,2019,10G,7,0,1,1,1,None,
서울특별시 서초구,서초동,1495,8,양재타워 778동 2161호,6690,37.4979,127.0228,Ntopia,2016,1G,6,0,0,0,1,None,
서울특별시 서초구,서초동,1386,6,염곡파인힐 16층,6690,37.496,127.0204,FTTH,2016,1G,4,0,1,0,1,None,TV
서울특별시 서초구,서초동,1338-23,3,내곡휴먼빌 9층,6690,37.4943,127.0269,Ntopia,2021,10G,14,1,1,1,0,O,
서울특별시 서초구,잠원동,79,5,양재스퀘어 401동 2300호,6510,37.514,127.0038,FTTH,2018,500M,2,1,1,1,0,None,
서울특별시 서초구,양재동,306-1,10,잠원롯데캐슬 199동 1345호,6747,37.4775,127.0373,Ntopia,2025,1G,4,1,1,0,1,None,TV
서울특별시 서초구,서초동,1316,2,현대아파트 898동 2981호,6690,37.4987,127.0201,Ntopia,2024,500M,1,0,1,0,0,None,TV
서울특별시 서초구,염곡동,108,5,우면프라임 25층,6766,37.4643,127.0309,Ntopia,2023,1G,4,1,1,0,1,None,TV
서울특별시 서초구,우면동,769-26,9,서초빌딩 528동 1237호,6762,37.4663,127.0268,Ntopia,2024,100M,11,0,0,1,0,None,
서울특별시 서초구,반포동,65,4,반포자이 696동 976호,6504,37.5018,126.9916,FTTH,2021,500M,5,1,1,0,0,None,TV
서울특별시 서초구,우면동,800,6,반포자이 29층,6762,37.4621,127.0264,Ntopia,2021,100M,7,1,0,1,0,None,
서울특별시 서초구,서초동,1382,10,반포힐탑 15층,6690,37.4987,127.0213,Ntopia,2018,1G,15,0,1,1,1,O,
서울특별시 서초구,염곡동,142,7,반포자이 874동 375호,6766,37.4673,127.0302,FTTH,2015,100M,15,1,0,0,0,None,
서울특별시 서초구,서초동,1342-8-5,7,삼성아파트 593동 142호,6690,37.4994,127.0253,Ntopia,2023,500M,5,1,1,0,0,None,TV
서울특별시 서초구,서초동,1496-20-3,5,방배그랑시티 12층,6690,37.4937,127.0268,FTTH,2022,500M,11,0,1,1,1,O,
서울특별시 서초구,서초동,1320,9,염곡파인힐 736동 1872호,6690,37.4999,127.0201,FTTH,2016,1G,6,1,1,1,0,None,
서울특별시 서초구,서초동,1452,9,염곡파인힐 18층,6690,37.4951,127.0282,Ntopia,2024,100M,14,1,0,1,1,None,
서울특별시 서초구,내곡동,609,10,롯데캐슬 프레지던트 2층,6800,37.4537,127.0448,Ntopia,2019,1G,13,0,1,0,1,O,TV
서울특별시 서초구,서초동,1401,10,염곡파인힐 14층,6690,37.4966,127.0262,FTTH,2018,500M,0,0,0,0,1,None,
서울특별시 서초구,신원동,320,8,서초로얄맨션 24층,6765,37.4642,127.0455,FTTH,2017,100M,8,1,0,1,0,None,
서울특별시 서초구,서초동,1339,2,우면스카이 573동 2228호,6690,37.4962,127.0238,FTTH,2024,1G,9,1,0,1,1,None,
서울특별시 서초구,서초동,1334,6,양재파크뷰 3층,6690,37.4936,127.0228,FTTH,2021,10G,3,1,0,1,1,None,
서울특별시 서초구,염곡동,100-21-5,9,방배로얄 318동 865호,6766,37.463,127.0363,FTTH,2016,1G,8,1,0,0,1,None,
서울특별시 서초구,양재동,314,5,방배그랑시티 27층,6747,37.4767,127.0372,FTTH,2024,500M,11,0,1,1,1,None,
서울특별시 서초구,서초동,1462,1,방배로얄 4층,6690,37.4998,127.0238,Ntopia,2020,100M,7,1,0,1,1,None,
서울특별시 서초구,서초동,1450-18,3,래미안 리더스원 393동 2919호,6690,37.4902,127.0257,FTTH,2016,1G,3,1,1,1,1,None,
서울특별시 서초구,염곡동,112,3,방배아트자이 294동 1376호,6766,37.4629,127.0331,Ntopia,2019,100M,9,0,0,0,0,None,
서울특별시 서초구,서초동,1340,6,양재스퀘어 609동 2667호,6690,37.4928,127.0253,FTTH,2021,1G,14,0,1,1,1,O,
서울특별시 서초구,반포동,39-24,10,현대아파트 5층,6504,37.5016,126.9933,Ntopia,2024,100M,3,1,1,0,0,None,TV
서울특별시 서초구,반포동,26,3,방배센트럴파크 2층,6504,37.5027,126.9918,FTTH,2020,500M,0,1,0,1,1,None,
서울특별시 서초구,서초동,1343-18,2,방배로얄 9층,6690,37.4994,127.0249,FTTH,2023,100M,8,1,1,0,0,None,TV
서울특별시 서초구,서초동,1488-4,9,현대아파트 844동 274호,6690,37.4912,127.0241,Ntopia,2018,100M,3,1,1,1,1,None,
서울특별시 서초구,서초동,1499,4,서초프라임 453동 2836호,6690,37.4967,127.0259,FTTH,2019,1G,6,1,1,1,1,None,
서울특별시 서초구,우면동,763-3-4,8,서초로얄맨션 721동 1886호,6762,37.4608,127.0267,FTTH,2024,500M,1,1,0,1,1,None,
서울특별시 서초구,서초동,1382,6,내곡그린 635동 784호,6690,37.4935,127.0212,FTTH,2018,500M,1,0,1,1,0,None,
서울특별시 서초구,서초동,1343,10,반포힐탑 23층,6690,37.4937,127.0286,FTTH,2022,500M,3,0,1,1,1,None,
서울특별시 서초구,신원동,340,7,신원센트럴 21층,6765,37.467,127.043,Ntopia,2022,1G,12,0,1,1,1,O,
서울특별시 서초구,서초동,1355,6,방배센트럴파크 13층,6690,37.4947,127.022,FTTH,2022,500M,0,0,1,1,1,None,
서울특별시 서초구,서초동,1307-2-5,4,서초파크자이 25층,6690,37.4957,127.0251,FTTH,2017,100M,11,1,0,1,1,None,
서울특별시 서초구,반포동,16,1,반포센트럴 27층,6504,37.5034,126.9955,FTTH,2015,500M,7,0,0,1,0,None,
서울특별시 서초구,잠원동,118-28,8,강남오피스텔 644동 2145호,6510,37.5105,127.0013,FTTH,2021,500M,9,1,0,1,1,None,
서울특별시 서초구,서초동,1419,6,잠원롯데캐슬 607동 1315호,6690,37.499,127.0205,Ntopia,2018,100M,13,1,0,0,1,None,
서울특별시 서초구,서초동,1315-16,7,염곡힐스테이트 815동 665호,6690,37.4975,127.02,Ntopia,2024,10G,5,0,1,1,1,None,
서울특별시 서초구,서초동,1364-12-4,6,서초타워 347동 259호,6690,37.4927,127.0201,FTTH,2015,500M,12,1,0,0,0,None,
서울특별시 서초구,서초동,1458,6,염곡파인힐 706동 2956호,6690,37.4954,127.0265,Ntopia,2020,500M,6,1,0,1,0,None,
서울특별시 서초구,서초동,1409,2,롯데캐슬 프레지던트 9층,6690,37.4924,127.0257,Ntopia,2015,500M,6,1,1,1,1,None,
서울특별시 서초구,염곡동,168,2,반포힐탑 5층,6766,37.4657,127.0387,Ntopia,2024,1G,1,0,1,1,1,None,
서울특별시 서초구,서초동,1416,10,서초파크자이 29층,6690,37.4931,127.0274,Ntopia,2017,500M,12,0,1,1,1,O,
서울특별시 서초구,염곡동,131,7,서초힐스 17층,6766,37.4635,127.0363,FTTH,2022,500M,15,1,1,1,1,O,
서울특별시 서초구,신원동,335-2,6,신원센트럴 187동 2032호,6765,37.465,127.0458,FTTH,2018,1G,1,1,1,1,1,None,